Index,Keyword,Tweets
1015,German refugees,Turkey nothing Jews We fighting Marksist PKK Terrori
1034,German refugees,Do n't think
1046,German refugees,"12,000 Germans considered potentially violent German-Jewish refugees like grandfather amp"
1071,German refugees,great bunch young crispy voters I 'm pretty sure green leftists already shivering anticipation
1079,German refugees,Stereotypical German names United States America e.g. Steinfeld -sama refugees Ashkenazim
1093,German refugees,The invasion
1129,German refugees,German Green Party Urges Allowing 140 Million Climate Refugees Migrate West What could possibly go wrong ht
1134,German refugees,Are interested effect immigration gt J. M. Dostal The German Federal Election 2017 How Wedge Issue
1220,German refugees,German Green Party Urges Allowing 140 Million Climate Refugees Migrate West NW
1234,German refugees,#NAME?
1257,German refugees,Russia please invade us send Siberia
1290,German refugees,GERMAN GREEN PARTY URGES ALLOWING 140 MILLION CLIMATE REFUGEES TO MIGRATE TO THE WEST What could possibly go wrong htt
1334,German refugees,German Green Party Urges Allowing 140 Million Climate Refugees Migrate West ...
0,Korean refugees,Today FOR EVERY RETWEET OF THIS VIDEO A DONOR IS GIVING 1 rescuing North Korean refugees hel
1,Korean refugees,Today EVERY RETWEET OF THIS VIDEO A DONOR IS GIVING 1 rescuing North Korean refugees helping
5,Korean refugees,China population 92 ethnic Han Chinese Japan 97 ethnic Japanese amp S Korea 96 ethnic Korean Interesting
21,Korean refugees,We able rescue Kang Lan Hee help resettle freedom You read story Ple
27,Korean refugees,We able rescue Kang Lan Hee help resettle freedom You read story
29,Korean refugees,As Southeast Asia prepares banish North Korean migrant workers comply United Nations Resolution
41,Korean refugees,I remember seeing black white newsreel film Korean war refugees ... faces haunte
42,Korean refugees,The holidays family But North Korean refugees escaped brutal regime 's reminder
43,Korean refugees,And read news South Korean sending North Korean refugees back North certain death
45,Korean refugees,I know data bought sold authoritarian regimes tracking citizens
50,Korean refugees,The holidays family But North Korean refugees escaped brutal regime 's reminder th
53,Korean refugees,Also wild Armenian leader shot disagreeing Moscow deporting Korean refugees somewhere grow rice
56,Korean refugees,Watch `` S.S. Meredith Victory A brief history '' Micah Porter Then see miracle
59,Korean refugees,Last December unidentified hacker stole personal information 997 North Korean refugees shaking refu
69,Korean refugees,North Korean refugees center massive data leak Their fears amplified speed North
79,Korean refugees,Jubilee Campaign USA teams 50 individuals organizations condemn
80,Korean refugees,We able rescue Im Ae Sook daughter Son Yang Mi help resettle freedom You read story
81,Korean refugees,President Harry S. Truman declared evacuation United States forces Hungnam North K
82,Korean refugees,Cyber attacks leave North Korean refugees afraid turn light houses
83,Korean refugees,`` I happy see North Korean refugees speak internal stage They brave I really respec
84,Korean refugees,We demand following 1 Eliminate Juche Ideology 2 Eliminate political prison camps 3 Stop repatri
85,Korean refugees,South Korea consider children half North Korean half Chinese refugees But young peop
86,Korean refugees,Cyber attacks releasing data North Korean refugees South Korea The latest
87,Korean refugees,North Korean refugees left cold data stolen
92,Korean refugees,After massive data leak North Korean refugees fear family back home `` A lot us live daily lives h
99,Korean refugees,We able rescue Im Ae Sook daughter Son Yang Mi help resettle freedom You read thei
103,Korean refugees,Tomorrow You help rescue North Korean refugees hitting retweet button Be ready adv
110,Korean refugees,After massive data leak North Korean refugees fear family back home `` A lot us live daily live
116,Korean refugees,North Korean refugees center massive data leak https//
117,Korean refugees,After massive data leak North Korean refugees fear family back home `` A lot us could n't live daily liv
119,Korean refugees,Ms Yan Hee Lee Solve country 's problem first In Jeju Island South Korea street prot
122,Korean refugees,Lots interesting content FTC weighs seeking injunction Facebook Aust Govt unveils 'world-leading regulat
123,Korean refugees,It obvious support Korean public campaign Yemenis refugees considering right c
124,Korean refugees,... Hong Kong amp illegal repatriation North Korean refugees
131,Korean refugees,It obvious support Korean public campaign Yemenis refugees considering tha
133,Korean refugees,SALVATION Lord would create sincere friendships South Korean Christians North Korea
144,Korean refugees,"By sharing North Korean friends stories YOU helped unlock total 9,000 across social med"
145,Korean refugees,He And son North Korean refugees I believe It big thing within manifesto amp
153,Korean refugees,After massive data leak North Korean refugees fear family back home This article published collaboration
156,Korean refugees,After massive data leak North Korean refugees fear family back home This article published collaborati
160,Korean refugees,North Korean refugees center massive data leak
167,Korean refugees,The United States military North Korean refugees numbering tens thousands made th
170,Korean refugees,North Korean refugees living fear state retaliation cyberattack stole personal informa
171,Korean refugees,After massive data leak North Korean refugees fear family back home NK News
175,Korean refugees,South Korea failing protect digital security North Korean refugees
179,Korean refugees,Failure follow puts North Korean refugees families danger Segregated networks
180,Korean refugees,North Korean refugees feel terrorized Kim Jong-un hacker army brilliant
0,Japanese refugees,The Chinese Exclusion Act internment Japanese Americans detainment deportation thousands Latinx im
2,Japanese refugees,China population 92 ethnic Han Chinese Japan 97 ethnic Japanese amp S Korea 96 ethnic Korean Interesting
4,Japanese refugees,And right nation refugees What th
